"particip,surveyyear,age,ethnicit,gender,targend,adjectiv,value"
"3,1996,19,White,Women,men,revengeful,1"
"3,1996,19,White,Women,men,scientifically-minded,1"
"3,1996,19,White,Women,men,secretive,1"
"3,1996,19,White,Women,men,sensitive,1"
"3,1996,19,White,Women,men,shrewd,1"
"3,1996,19,White,Women,men,shy,1"
"3,1996,19,White,Women,men,superstitious,1"
"3,1996,19,White,Women,men,suspicious,1"
"3,1996,19,White,Women,men,traditional,1"
"3,1996,19,White,Women,women,artistic,1"
"3,1996,19,White,Women,women,attractive,1"
"3,1996,19,White,Women,women,conservative,1"
"3,1996,19,White,Women,women,evasive,1"
"3,1996,19,White,Women,women,exotic,1"
"3,1996,19,White,Women,women,humorless,1"
"3,1996,19,White,Women,women,imitative,1"
"3,1996,19,White,Women,women,inhibited,1"
"3,1996,19,White,Women,women,materialistic,1"
"3,1996,19,White,Women,women,promiscuous,1"
"3,1996,19,White,Women,women,quiet,1"
"3,1996,19,White,Women,women,religious,1"
"3,1996,19,White,Women,women,reserved,1"
"3,1996,19,White,Women,women,secretive,1"
"3,1996,19,White,Women,women,shrewd,1"
"3,1996,19,White,Women,women,shy,1"
"3,1996,19,White,Women,women,sophisticated,1"
"3,1996,19,White,Women,women,superstitious,1"
"3,1996,19,White,Women,women,suspicious,1"
"3,1996,19,White,Women,women,traditional,1"
"3,1996,19,White,Women,women,unaggressive,1"
"4,1996,18,Black,Men,men,ambitious,1"
"4,1996,18,Black,Men,men,conservative,1"
"4,1996,18,Black,Men,men,conventional,1"
"4,1996,18,Black,Men,men,efficient,1"
"4,1996,18,Black,Men,men,faithful,1"
"4,1996,18,Black,Men,men,humorless,1"
"4,1996,18,Black,Men,men,industrious,1"
"4,1996,18,Black,Men,men,inhibited,1"
"4,1996,18,Black,Men,men,intelligent,1"
"4,1996,18,Black,Men,men,loyal to family ties,1"
"4,1996,18,Black,Men,men,methodical,1"
"4,1996,18,Black,Men,men,nationalistic,1"
"4,1996,18,Black,Men,men,neat,1"
"4,1996,18,Black,Men,men,practical,1"
"4,1996,18,Black,Men,men,progressive,1"
"4,1996,18,Black,Men,men,quiet,1"
"4,1996,18,Black,Men,men,religious,1"
"4,1996,18,Black,Men,men,reserved,1"
"4,1996,18,Black,Men,men,scientifically-minded,1"
"4,1996,18,Black,Men,men,sensitive,1"
"4,1996,18,Black,Men,men,shrewd,1"
"4,1996,18,Black,Men,men,shy,1"
"4,1996,18,Black,Men,men,superstitious,1"
"4,1996,18,Black,Men,men,traditional,1"
"4,1996,18,Black,Men,women,attractive,1"
"4,1996,18,Black,Men,women,conservative,1"
"4,1996,18,Black,Men,women,courteous,1"
"4,1996,18,Black,Men,women,cowardly,1"
"4,1996,18,Black,Men,women,exotic,1"
"4,1996,18,Black,Men,women,faithful,1"
"4,1996,18,Black,Men,women,inhibited,1"
"4,1996,18,Black,Men,women,intelligent,1"
"4,1996,18,Black,Men,women,loyal to family ties,1"
"4,1996,18,Black,Men,women,neat,1"
"4,1996,18,Black,Men,women,nurturant,1"
"4,1996,18,Black,Men,women,quiet,1"
"4,1996,18,Black,Men,women,religious,1"
"4,1996,18,Black,Men,women,reserved,1"
"4,1996,18,Black,Men,women,secretive,1"
"4,1996,18,Black,Men,women,sensitive,1"
"4,1996,18,Black,Men,women,shy,1"
"4,1996,18,Black,Men,women,superstitious,1"
"4,1996,18,Black,Men,women,traditional,1"
"5,1996,18,Asian,Women,men,ambitious,1"
"5,1996,18,Asian,Women,men,artistic,1"
"5,1996,18,Asian,Women,men,conservative,1"
"5,1996,18,Asian,Women,men,courteous,1"
"5,1996,18,Asian,Women,men,cowardly,1"
"5,1996,18,Asian,Women,men,dependent,1"
"5,1996,18,Asian,Women,men,faithful,1"
"5,1996,18,Asian,Women,men,generous,1"
"5,1996,18,Asian,Women,men,happy-go-lucky,1"
"5,1996,18,Asian,Women,men,honest,1"
"5,1996,18,Asian,Women,men,humorless,1"
"5,1996,18,Asian,Women,men,intelligent,1"
"5,1996,18,Asian,Women,men,loyal to family ties,1"
"5,1996,18,Asian,Women,men,neat,1"
"5,1996,18,Asian,Women,men,passionate,1"
"5,1996,18,Asian,Women,men,quiet,1"
"5,1996,18,Asian,Women,men,religious,1"
"5,1996,18,Asian,Women,men,reserved,1"
"5,1996,18,Asian,Women,men,scientifically-minded,1"
"5,1996,18,Asian,Women,men,secretive,1"
"5,1996,18,Asian,Women,men,sensitive,1"
"5,1996,18,Asian,Women,men,shy,1"
"5,1996,18,Asian,Women,men,sophisticated,1"
"5,1996,18,Asian,Women,men,traditional,1"
"5,1996,18,Asian,Women,men,unaggressive,1"
"5,1996,18,Asian,Women,women,attractive,1"
"5,1996,18,Asian,Women,women,conservative,1"
"5,1996,18,Asian,Women,women,courteous,1"
"5,1996,18,Asian,Women,women,efficient,1"
"5,1996,18,Asian,Women,women,faithful,1"
"5,1996,18,Asian,Women,women,generous,1"
"5,1996,18,Asian,Women,women,happy-go-lucky,1"
"5,1996,18,Asian,Women,women,honest,1"
"5,1996,18,Asian,Women,women,intelligent,1"
"5,1996,18,Asian,Women,women,loyal to family ties,1"
"5,1996,18,Asian,Women,women,neat,1"
"5,1996,18,Asian,Women,women,passionate,1"
"5,1996,18,Asian,Women,women,quiet,1"
"5,1996,18,Asian,Women,women,religious,1"
"5,1996,18,Asian,Women,women,reserved,1"
"5,1996,18,Asian,Women,women,shy,1"
"5,1996,18,Asian,Women,women,sophisticated,1"
"5,1996,18,Asian,Women,women,superstitious,1"
"5,1996,18,Asian,Women,women,traditional,1"
"5,1996,18,Asian,Women,women,unaggressive,1"
"6,1996,18,White,Women,men,conservative,1"
"6,1996,18,White,Women,men,conventional,1"
"6,1996,18,White,Women,men,efficient,1"
"6,1996,18,White,Women,men,faithful,1"
"6,1996,18,White,Women,men,industrious,1"
"6,1996,18,White,Women,men,intelligent,1"
"6,1996,18,White,Women,men,loyal to family ties,1"
"6,1996,18,White,Women,men,progressive,1"
"6,1996,18,White,Women,men,quiet,1"
"6,1996,18,White,Women,men,reserved,1"
"6,1996,18,White,Women,men,scientifically-minded,1"
"6,1996,18,White,Women,men,tradition-loving,1"
"6,1996,18,White,Women,women,artistic,1"
"6,1996,18,White,Women,women,conservative,1"
"6,1996,18,White,Women,women,conventional,1"
"6,1996,18,White,Women,women,dependent,1"
"6,1996,18,White,Women,women,exotic,1"
"6,1996,18,White,Women,women,faithful,1"
"6,1996,18,White,Women,women,inhibited,1"
"6,1996,18,White,Women,women,loyal to family ties,1"
"6,1996,18,White,Women,women,passionate,1"
"6,1996,18,White,Women,women,quiet,1"
"6,1996,18,White,Women,women,reserved,1"
"6,1996,18,White,Women,women,shy,1"
"6,1996,18,White,Women,women,traditional,1"
"6,1996,18,White,Women,women,unaggressive,1"
"7,1996,18,White,Women,men,conservative,1"
"7,1996,18,White,Women,men,conventional,1"
"7,1996,18,White,Women,men,efficient,1"
"7,1996,18,White,Women,men,industrious,1"
"7,1996,18,White,Women,men,intelligent,1"
"7,1996,18,White,Women,men,loyal to family ties,1"
"7,1996,18,White,Women,men,methodical,1"
"7,1996,18,White,Women,men,neat,1"
"7,1996,18,White,Women,men,persistent,1"
"7,1996,18,White,Women,men,quiet,1"
"7,1996,18,White,Women,men,scientifically-minded,1"
"7,1996,18,White,Women,men,traditional,1"
"7,1996,18,White,Women,women,conservative,1"
"7,1996,18,White,Women,women,conventional,1"
"7,1996,18,White,Women,women,efficient,1"
"7,1996,18,White,Women,women,industrious,1"
"7,1996,18,White,Women,women,intelligent,1"
"7,1996,18,White,Women,women,loyal to family ties,1"
"7,1996,18,White,Women,women,meditative,1"
"7,1996,18,White,Women,women,neat,1"
"7,1996,18,White,Women,women,quiet,1"
"7,1996,18,White,Women,women,reserved,1"
"7,1996,18,White,Women,women,sensitive,1"
"7,1996,18,White,Women,women,shy,1"
"7,1996,18,White,Women,women,traditional,1"
"7,1996,18,White,Women,women,unaggressive,1"
"8,1996,22,International,Men,men,imitative,1"
"8,1996,22,International,Men,men,industrious,1"
"8,1996,22,International,Men,men,intelligent,1"
"8,1996,22,International,Men,men,loyal to family ties,1"
"8,1996,22,International,Men,men,materialistic,1"
"8,1996,22,International,Men,men,nationalistic,1"
"8,1996,22,International,Men,men,practical,1"
"8,1996,22,International,Men,men,quiet,1"
"8,1996,22,International,Men,men,scientifically-minded,1"
"8,1996,22,International,Men,men,sensitive,1"
"8,1996,22,International,Men,men,shrewd,1"
"8,1996,22,International,Men,men,sophisticated,1"
"8,1996,22,International,Men,women,conservative,1"
"8,1996,22,International,Men,women,courteous,1"
"8,1996,22,International,Men,women,exotic,1"
"8,1996,22,International,Men,women,faithful,1"
"8,1996,22,International,Men,women,industrious,1"
"8,1996,22,International,Men,women,inhibited,1"
"8,1996,22,International,Men,women,intelligent,1"
"8,1996,22,International,Men,women,loyal to family ties,1"
"8,1996,22,International,Men,women,nationalistic,1"
"8,1996,22,International,Men,women,neat,1"
"8,1996,22,International,Men,women,practical,1"
"8,1996,22,International,Men,women,quiet,1"
"8,1996,22,International,Men,women,reserved,1"
"8,1996,22,International,Men,women,scientifically-minded,1"
"8,1996,22,International,Men,women,sensitive,1"
"8,1996,22,International,Men,women,shy,1"
"8,1996,22,International,Men,women,sophisticated,1"
"8,1996,22,International,Men,women,traditional,1"
"9,1996,19,Asian,Women,men,ambitious,1"
"9,1996,19,Asian,Women,men,conservative,1"
"9,1996,19,Asian,Women,men,conventional,1"
"9,1996,19,Asian,Women,men,courteous,1"
"9,1996,19,Asian,Women,men,effeminate,1"
"9,1996,19,Asian,Women,men,efficient,1"
"9,1996,19,Asian,Women,men,honest,1"
"9,1996,19,Asian,Women,men,humorless,1"
"9,1996,19,Asian,Women,men,industrious,1"
"9,1996,19,Asian,Women,men,intelligent,1"
"9,1996,19,Asian,Women,men,loyal to family ties,1"
"9,1996,19,Asian,Women,men,meditative,1"
"9,1996,19,Asian,Women,men,nationalistic,1"
"9,1996,19,Asian,Women,men,persistent,1"
"9,1996,19,Asian,Women,men,progressive,1"
"9,1996,19,Asian,Women,men,quiet,1"
"9,1996,19,Asian,Women,men,religious,1"
"9,1996,19,Asian,Women,men,reserved,1"
"9,1996,19,Asian,Women,men,scientifically-minded,1"
"9,1996,19,Asian,Women,men,shy,1"
"9,1996,19,Asian,Women,men,traditional,1"
"9,1996,19,Asian,Women,men,unaggressive,1"
"9,1996,19,Asian,Women,women,ambitious,1"
"9,1996,19,Asian,Women,women,conservative,1"
"9,1996,19,Asian,Women,women,conventional,1"
"9,1996,19,Asian,Women,women,courteous,1"
"9,1996,19,Asian,Women,women,dependent,1"
"9,1996,19,Asian,Women,women,effeminate,1"
"9,1996,19,Asian,Women,women,efficient,1"
"9,1996,19,Asian,Women,women,faithful,1"
"9,1996,19,Asian,Women,women,honest,1"
"9,1996,19,Asian,Women,women,industrious,1"
"9,1996,19,Asian,Women,women,inhibited,1"
"9,1996,19,Asian,Women,women,intelligent,1"
"9,1996,19,Asian,Women,women,loyal to family ties,1"
"9,1996,19,Asian,Women,women,neat,1"
"9,1996,19,Asian,Women,women,nurturant,1"
"9,1996,19,Asian,Women,women,quiet,1"
"9,1996,19,Asian,Women,women,religious,1"
"9,1996,19,Asian,Women,women,reserved,1"
"9,1996,19,Asian,Women,women,sensitive,1"
"9,1996,19,Asian,Women,women,shy,1"
"9,1996,19,Asian,Women,women,sophisticated,1"
"9,1996,19,Asian,Women,women,traditional,1"
"10,1996,19,White,Women,men,ambitious,1"
"10,1996,19,White,Women,men,courteous,1"
"10,1996,19,White,Women,men,efficient,1"
"10,1996,19,White,Women,men,exotic,1"
"10,1996,19,White,Women,men,industrious,1"
"10,1996,19,White,Women,men,intelligent,1"
"10,1996,19,White,Women,men,loyal to family ties,1"
"10,1996,19,White,Women,men,materialistic,1"
"10,1996,19,White,Women,men,methodical,1"
"10,1996,19,White,Women,men,nationalistic,1"
"10,1996,19,White,Women,men,neat,1"
"10,1996,19,White,Women,men,scientifically-minded,1"
"10,1996,19,White,Women,men,traditional,1"
"10,1996,19,White,Women,women,attractive,1"
"10,1996,19,White,Women,women,courteous,1"
"10,1996,19,White,Women,women,dependent,1"
"10,1996,19,White,Women,women,efficient,1"
"10,1996,19,White,Women,women,exotic,1"
"10,1996,19,White,Women,women,industrious,1"
"10,1996,19,White,Women,women,inhibited,1"
"10,1996,19,White,Women,women,intelligent,1"
"10,1996,19,White,Women,women,loyal to family ties,1"
"10,1996,19,White,Women,women,methodical,1"
"10,1996,19,White,Women,women,nationalistic,1"
"10,1996,19,White,Women,women,neat,1"
"10,1996,19,White,Women,women,practical,1"
"10,1996,19,White,Women,women,progressive,1"
"10,1996,19,White,Women,women,reserved,1"
"10,1996,19,White,Women,women,scientifically-minded,1"
"10,1996,19,White,Women,women,sophisticated,1"
"10,1996,19,White,Women,women,traditional,1"
"11,1996,20,White,Men,men,efficent,1"
"11,1996,20,White,Men,men,intelligent,1"
"11,1996,20,White,Men,men,neat,1"
"11,1996,20,White,Men,men,quiet,1"
"11,1996,20,White,Men,men,reserved,1"
"11,1996,20,White,Men,men,scientifically-minded,1"
"11,1996,20,White,Men,men,shy,1"
"11,1996,20,White,Men,men,unaggressive,1"
"11,1996,20,White,Men,women,faithful,1"
"11,1996,20,White,Men,women,intelligent,1"
"11,1996,20,White,Men,women,loyal to family ties,1"
"11,1996,20,White,Men,women,neat,1"
"11,1996,20,White,Men,women,quiet,1"
"11,1996,20,White,Men,women,reserved,1"
"11,1996,20,White,Men,women,shy,1"
"11,1996,20,White,Men,women,traditional,1"
"12,1996,20,White,Men,men,efficient,1"
"12,1996,20,White,Men,men,industrious,1"
"12,1996,20,White,Men,men,intelligent,1"
"12,1996,20,White,Men,men,loyal to family ties,1"
"12,1996,20,White,Men,men,materialistic,1"
"12,1996,20,White,Men,men,neat,1"
"12,1996,20,White,Men,men,persistent,1"
"12,1996,20,White,Men,men,progressive,1"
"12,1996,20,White,Men,men,progressive,1"
"12,1996,20,White,Men,men,quiet,1"
"12,1996,20,White,Men,men,scientifically-minded,1"
"12,1996,20,White,Men,women,attractive,1"
"12,1996,20,White,Men,women,intelligent,1"
"12,1996,20,White,Men,women,loyal to family ties,1"
"12,1996,20,White,Men,women,materialistic,1"
"12,1996,20,White,Men,women,quiet,1"
"12,1996,20,White,Men,women,rude,1"
"12,1996,20,White,Men,women,scientifically-minded,1"
"12,1996,20,White,Men,women,sensitive,1"
"12,1996,20,White,Men,women,shy,1"
"12,1996,20,White,Men,women,sophisticated,1"
"12,1996,20,White,Men,women,traditional,1"
"13,1996,19,White,Women,men,ambitious,1"
"13,1996,19,White,Women,men,conservative,1"
"13,1996,19,White,Women,men,courteous,1"
"13,1996,19,White,Women,men,efficient,1"
"13,1996,19,White,Women,men,honest,1"
"13,1996,19,White,Women,men,intelligent,1"
"13,1996,19,White,Women,men,loyal to family ties,1"
"13,1996,19,White,Women,men,meditative,1"
"13,1996,19,White,Women,men,passionate,1"
"13,1996,19,White,Women,men,persistent,1"
"13,1996,19,White,Women,men,quiet,1"
"13,1996,19,White,Women,men,reserved,1"
"13,1996,19,White,Women,men,scientifically-minded,1"
"13,1996,19,White,Women,men,sensitive,1"
"13,1996,19,White,Women,men,sophisticated,1"
"13,1996,19,White,Women,men,traditional,1"
"13,1996,19,White,Women,men,unaggressive,1"
"13,1996,19,White,Women,women,ambitious,1"
"13,1996,19,White,Women,women,conservative,1"
"13,1996,19,White,Women,women,courteous,1"
"13,1996,19,White,Women,women,efficient,1"
"13,1996,19,White,Women,women,honest,1"
"13,1996,19,White,Women,women,intelligent,1"
"13,1996,19,White,Women,women,loyal to family ties,1"
"13,1996,19,White,Women,women,meditative,1"
"13,1996,19,White,Women,women,neat,1"
"13,1996,19,White,Women,women,persistent,1"
"13,1996,19,White,Women,women,quiet,1"
"13,1996,19,White,Women,women,reserved,1"
"13,1996,19,White,Women,women,scientifically-minded,1"
"13,1996,19,White,Women,women,sensitive,1"
"13,1996,19,White,Women,women,shy,1"
"13,1996,19,White,Women,women,traditional,1"
"14,1996,19,Latinx,Men,men,ambitious,1"
"14,1996,19,Latinx,Men,men,conceited,1"
"14,1996,19,Latinx,Men,men,conservative,1"
"14,1996,19,Latinx,Men,men,courteous,1"
"14,1996,19,Latinx,Men,men,efficient,1"
"14,1996,19,Latinx,Men,men,evasive,1"
"14,1996,19,Latinx,Men,men,faithful,1"
"14,1996,19,Latinx,Men,men,honest,1"
"14,1996,19,Latinx,Men,men,humorless,1"
"14,1996,19,Latinx,Men,men,individualistic,1"
"14,1996,19,Latinx,Men,men,industrious,1"
"14,1996,19,Latinx,Men,men,intelligent,1"
"14,1996,19,Latinx,Men,men,loyal to family ties,1"
"14,1996,19,Latinx,Men,men,meditative,1"
"14,1996,19,Latinx,Men,men,methodical,1"
"14,1996,19,Latinx,Men,men,nationalistic,1"
"14,1996,19,Latinx,Men,men,neat,1"
"14,1996,19,Latinx,Men,men,persistent,1"
"14,1996,19,Latinx,Men,men,practical,1"
"14,1996,19,Latinx,Men,men,progressive,1"
"14,1996,19,Latinx,Men,men,quiet,1"
"14,1996,19,Latinx,Men,men,religious,1"
"14,1996,19,Latinx,Men,men,reserved,1"
"14,1996,19,Latinx,Men,men,scientifically-minded,1"
"14,1996,19,Latinx,Men,men,secretive,1"
"14,1996,19,Latinx,Men,men,sophisticated,1"
"14,1996,19,Latinx,Men,men,straightforward,1"
"14,1996,19,Latinx,Men,men,superstitious,1"
"14,1996,19,Latinx,Men,men,traditional,1"
"14,1996,19,Latinx,Men,men,unaggressive,1"
"14,1996,19,Latinx,Men,women,conceited,1"
"14,1996,19,Latinx,Men,women,conservative,1"
"14,1996,19,Latinx,Men,women,courteous,1"
"14,1996,19,Latinx,Men,women,dependent,1"
"14,1996,19,Latinx,Men,women,evasive,1"
"14,1996,19,Latinx,Men,women,faithful,1"
"14,1996,19,Latinx,Men,women,individualistic,1"
"14,1996,19,Latinx,Men,women,meditative,1"
"14,1996,19,Latinx,Men,women,quick-tempered,1"
"14,1996,19,Latinx,Men,women,quiet,1"
"14,1996,19,Latinx,Men,women,religious,1"
"14,1996,19,Latinx,Men,women,secretive,1"
"14,1996,19,Latinx,Men,women,suggestible,1"
"14,1996,19,Latinx,Men,women,superstitious,1"
"14,1996,19,Latinx,Men,women,traditional,1"
"14,1996,19,Latinx,Men,women,unaggressive,1"
"15,1996,18,White,Men,men,ambitious,1"
"15,1996,18,White,Men,men,conservative,1"
"15,1996,18,White,Men,men,efficient,1"
"15,1996,18,White,Men,men,humorless,1"
"15,1996,18,White,Men,men,individualistic,1"
"15,1996,18,White,Men,men,industrious,1"
"15,1996,18,White,Men,men,intelligent,1"
"15,1996,18,White,Men,men,loyal to family ties,1"
"15,1996,18,White,Men,men,methodical,1"
"15,1996,18,White,Men,men,nationalistic,1"
"15,1996,18,White,Men,men,neat,1"
"15,1996,18,White,Men,men,persistent,1"
"15,1996,18,White,Men,men,practical,1"
"15,1996,18,White,Men,men,progressive,1"
"15,1996,18,White,Men,men,quiet,1"
"15,1996,18,White,Men,men,reserved,1"
"15,1996,18,White,Men,men,scientifically-minded,1"
"15,1996,18,White,Men,men,shrewd,1"
"15,1996,18,White,Men,men,sophisticated,1"
"15,1996,18,White,Men,men,unaggressive,1"
"15,1996,18,White,Men,women,ambitious,1"
"15,1996,18,White,Men,women,arrogant,1"
"15,1996,18,White,Men,women,conceited,1"
"15,1996,18,White,Men,women,efficient,1"
"15,1996,18,White,Men,women,exotic,1"
"15,1996,18,White,Men,women,industrious,1"
"15,1996,18,White,Men,women,intelligent,1"
"15,1996,18,White,Men,women,practical,1"
"15,1996,18,White,Men,women,promiscuous,1"
"15,1996,18,White,Men,women,quiet,1"
"16,1996,18,White,Women,men,athletic,1"
"16,1996,18,White,Women,men,efficient,1"
"16,1996,18,White,Women,men,impulsive,1"
"16,1996,18,White,Women,men,individualistic,1"
"16,1996,18,White,Women,men,industrious,1"
"16,1996,18,White,Women,men,intelligent,1"
"16,1996,18,White,Women,men,loyal to family ties,1"
"16,1996,18,White,Women,men,meditative,1"
"16,1996,18,White,Women,men,neat,1"
"16,1996,18,White,Women,men,persistent,1"
"16,1996,18,White,Women,men,practical,1"
"16,1996,18,White,Women,men,progressive,1"
"16,1996,18,White,Women,men,quiet,1"
"16,1996,18,White,Women,men,radical,1"
"16,1996,18,White,Women,men,religious,1"
"16,1996,18,White,Women,men,reserved,1"
"16,1996,18,White,Women,men,scientifically-minded,1"
"16,1996,18,White,Women,men,secretive,1"
"16,1996,18,White,Women,men,shrewd,1"
"16,1996,18,White,Women,men,sophisticated,1"
"16,1996,18,White,Women,men,unaggressive,1"
"16,1996,18,White,Women,women,athletic,1"
"16,1996,18,White,Women,women,attractive,1"
"16,1996,18,White,Women,women,conservative,1"
"16,1996,18,White,Women,women,courteous,1"
"16,1996,18,White,Women,women,efficient,1"
"16,1996,18,White,Women,women,individualistic,1"
"16,1996,18,White,Women,women,industrious,1"
"16,1996,18,White,Women,women,intelligent,1"
"16,1996,18,White,Women,women,loyal to family ties,1"
"16,1996,18,White,Women,women,neat,1"
"16,1996,18,White,Women,women,persistent,1"
"16,1996,18,White,Women,women,practical,1"
"16,1996,18,White,Women,women,progressive,1"
"16,1996,18,White,Women,women,quiet,1"
"16,1996,18,White,Women,women,radical,1"
"16,1996,18,White,Women,women,religious,1"
"16,1996,18,White,Women,women,reserved,1"
"16,1996,18,White,Women,women,scientifically-minded,1"
"16,1996,18,White,Women,women,straighforward,1"
"16,1996,18,White,Women,women,unaggressive,1"
"17,1996,18,International,Women,men,efficient,1"
"17,1996,18,International,Women,men,generous,1"
"17,1996,18,International,Women,men,industrious,1"
"17,1996,18,International,Women,men,intelligent,1"
"17,1996,18,International,Women,men,loyal to family ties,1"
"17,1996,18,International,Women,men,materialistic,1"
"17,1996,18,International,Women,men,quiet,1"
"17,1996,18,International,Women,men,religious,1"
"17,1996,18,International,Women,men,scientifically-minded,1"
"17,1996,18,International,Women,men,traditional,1"
"17,1996,18,International,Women,men,unaggressive,1"
"17,1996,18,International,Women,women,conceited,1"
"17,1996,18,International,Women,women,exotic,1"
"17,1996,18,International,Women,women,humorless,1"
"17,1996,18,International,Women,women,industrious,1"
"17,1996,18,International,Women,women,intelligent,1"
"17,1996,18,International,Women,women,loyal to family ties,1"
"17,1996,18,International,Women,women,materialistic,1"
"17,1996,18,International,Women,women,quiet,1"
"17,1996,18,International,Women,women,reserved,1"
"17,1996,18,International,Women,women,scientifically-minded,1"
"17,1996,18,International,Women,women,sensitive,1"
"17,1996,18,International,Women,women,shy,1"
"17,1996,18,International,Women,women,traditional,1"
"19,1996,20,White,Women,men,ambitious,1"
"19,1996,20,White,Women,men,courteous,1"
"19,1996,20,White,Women,men,efficient,1"
"19,1996,20,White,Women,men,exotic,1"
"19,1996,20,White,Women,men,industrious,1"
"19,1996,20,White,Women,men,intelligent,1"
"19,1996,20,White,Women,men,loyal to family ties,1"
"19,1996,20,White,Women,men,meditative,1"
"19,1996,20,White,Women,men,neat,1"
"19,1996,20,White,Women,men,practical,1"
"19,1996,20,White,Women,men,quiet,1"
