Participant,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q16_12,Q16_13,Q16_14,Q16_15,Q16_16,Q16_17,Q16_18,Q16_19,Q16_20,Q16_21,Q16_22,Q16_23,Q16_24,Q16_25,Q16_26,Q16_27,Q16_28,Q16_29,Q16_30,Q16_31,Q16_32,Q16_33,Q16_34,Q16_35,Q16_36,Q16_37,Q16_38,Q16_39,Q16_40,Q16_41,Q16_42,Q16_43,Q16_44,Q16_45,Q16_46,Q16_47,Q16_48,Q16_49,Q16_50,Q16_51,Q16_52,Q16_53,Q16_54,Q16_55,Q16_56,Q16_57,Q16_58,Q16_59,Q16_60,Q16_61,Q16_62,Q16_63,Others1,Top5Male,Q74_1,Q74_2,Q74_3,Q74_4,Q74_5,Q74_6,Q74_7,Q74_8,Q74_9,Q74_10,Q74_11,Q74_12,Q74_13,Q74_14,Q74_15,Q74_16,Q74_17,Q74_18,Q74_19,Q74_20,Q74_21,Q74_22,Q74_23,Q74_24,Q74_25,Q74_26,Q74_27,Q74_28,Q74_29,Q74_30,Q74_31,Q74_32,Q74_33,Q74_34,Q74_35,Q74_36,Q74_37,Q74_38,Q74_39,Q74_40,Q74_41,Q74_42,Q74_43,Q74_44,Q74_45,Q74_46,Q74_47,Q74_48,Q74_49,Q74_50,Q74_51,Q74_52,Q74_53,Q74_54,Q74_55,Q74_56,Q74_57,Q74_58,Q74_59,Q74_60,Q74_61,Q74_62,Others2,Top5female,Q0,ID1,ID2,ID3,ID4,ID5,ID6,OP1,OP2,OP3,OP4,OP5,OP6,OP7,OP8,OP9,OP10,OP11,OP12,OP13,OP14,OP15,OP16,OP17,OP18,OP19,OP20,OP21,OP22,OP23,OP24,MCB1,MCB2,MCB3,MCB4,MCB5,MCB6,MCB7,MCB8,Gender,Age,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_6_TEXT,Race,SchoolYear,Major,SES,Generation,Q7,Q8,AROS_Emotional,AROS_Standard,AROS_Devaluation,AROS_Thinking,AROS_TOTAL,MCB_Multi,MCB_Blind,EID_Exp,EID_Com,EID_TOTAL,Smart_M,Exotic_M,Passive_M,Traditional_M,Secretive_M,Methodical_M,Self_Centered_M,Asexual_M,Aggressive_M,Avante_Garde_M,Open_M,Spontaneous_M,Caring_M,Cruel_M,Smart_W,Exotic_W,Passive_W,Traditional_W,Secretive_W,Methodical_W,Self_Centered_W,Asexual_W,Aggressive_W,Avante_Garde_W,Open_W,Spontaneous_W,Caring_W,Cruel_W,AAWomen,AAMen,M16_1,M16_2,M16_3,M16_4,M16_5,M16_6,M16_7,M16_8,M16_9,M16_10,M16_11,M16_12,M16_13,M16_14,M16_15,M16_16,M16_17,M16_18,M16_19,M16_20,M16_21,M16_22,M16_23,M16_24,M16_25,M16_26,M16_27,M16_28,M16_29,M16_30,M16_31,M16_32,M16_33,M16_34,M16_35,M16_36,M16_37,M16_38,M16_39,M16_40,M16_41,M16_42,M16_43,M16_44,M16_45,M16_46,M16_47,M16_48,M16_49,M16_50,M16_51,M16_52,M16_53,M16_54,M16_55,M16_56,M16_57,M16_58,M16_59,M16_60,M16_61,M16_62,W74_1,W74_2,W74_3,W74_4,W74_5,W74_6,W74_7,W74_8,W74_9,W74_10,W74_11,W74_12,W74_13,W74_14,W74_15,W74_16,W74_17,W74_18,W74_19,W74_20,W74_21,W74_22,W74_23,W74_24,W74_25,W74_26,W74_27,W74_28,W74_29,W74_30,W74_31,W74_32,W74_33,W74_34,W74_35,W74_36,W74_37,W74_38,W74_39,W74_40,W74_41,W74_42,W74_43,W74_44,W74_45,W74_46,W74_47,W74_48,W74_49,W74_50,W74_51,W74_52,W74_53,W74_54,W74_55,W74_56,W74_57,W74_58,W74_59,W74_60,W74_61,W74_62,Smart_M2,Exotic_M2,Passive_M2,Traditional_M2,Secretive_M2,Methodical_M2,Self_Centered_M2,Asexual_M2,Aggressive_M2,Avante_Garde_M2,Open_M2,Spontaneous_M2,Caring_M2,Cruel_M2,Smart_W2,Exotic_W2,Passive_W2,Traditional_W2,Secretive_W2,Methodical_W2,Self_Centered_W2,Asexual_W2,Aggressive_W2,Avante_Garde_W2,Open_W2,Spontaneous_W2,Caring_W2,Cruel_W2
54,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,,#NAME?,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,,Persistent: date or trying to flirt Shy: public areas of exposure Athletic: public gym/ open areas Passionate: school and work definitely  Traditional: follows family traditions and ideals,Asian American,3,4,4,4,4,5,7,4,3,3,1,1,2,7,7,1,3,1,4,4,2,1,5,2,1,1,1,1,1,1,7,7,7,7,3,1,7,1,1,19,,1,,,,,,2,2nd,Undeclared,2,1,America but parents in Southeast Asia,,2.14,5.33,1.25,2.33,64,7,3,3.67,4.33,4,1,2,8,2,4,3,3,0,2,2,2,1,2,2,3,3,6,3,2,3,2,1,2,2,2,1,4,1,15,15,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0.02,0.02,0,0,0.02,0,0,0.02,0.02,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0.02,0.02,0.02,0.02,0,0.02,0.02,0.02,0.02,0,0.02,0,0,0.02,0.02,0,0,0,0,0,0.02,0,0.02,0,0.02,0.02,0.02,0.02,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0.02,0.02,0.02,0,0.02,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0.02,0,0.02,0.02,0.02,0,0.02,0.02,0.02,0,0.02,0,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0.02,0,0,0.02,0.02,0,0.02,0.02,0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.16,0.04,0.08,0.06,0.06,0,0.04,0.04,0.04,0.02,0.04,0.04,0.06,0.06,0.12,0.06,0.04,0.06,0.04,0.02,0.04,0.04,0.04,0.02,0.08,0.02
55,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,,Faithful rude arrogant loyal to family ties,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,faithful religious  honest happy go lucky quiet,Caucasian/European,5,5,5,5,5,5,1,1,1,1,1,1,1,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,7,7,1,6,6,1,2,19,,,1,,,1,Portugese Spanish Sicilian Irish,6,4th,Psychology,9,5,,,1.29,1.67,1,1.33,31,6.5,3.5,5,5,5,1,1,4,3,0,0,2,0,0,1,1,1,2,0,1,0,3,2,0,0,1,0,0,1,2,1,0,0,6,7,0.06,0.06,0,0,0.06,0,0,0,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.06,0,0.06,0,0.06,0,0.06,0,0,0,0,0,0.06,0.06,0.06,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0.06,0.08,0,0.08,0,0.08,0,0,0,0.08,0.08,0,0.08,0,0,0,0,0,0.08,0,0,0.08,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.08,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.06,0.06,0.24,0.18,0,0,0.12,0,0,0.06,0.06,0.06,0.12,0,0.08,0,0.24,0.16,0,0,0.08,0,0,0.08,0.16,0.08,0,0
56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"intelligent - classroom persistent - work, school unaggressive - intimate relationships and family  ambitious - work, school conventional - family, work, education",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,"quiet - dates, family, relationships, school shy - relationships, school neat - their room conservative - family, relationships",white,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,5,4,4,4,5,4,4,5,4,4,5,4,5,4,5,5,5,5,5,5,5,5,2,18,,,1,,,,,3,1,psychology,7,,,,4.57,4,4,4.33,101,5,5,3.67,4,3.83,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,5,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0.17,0,0.17,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0.17,0,0.17,0.17,0,0.17,0,0,0.17,0,0,0,0,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0
57,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Intelligent (classroom), quite (Public spaces, restaurants ), unaggressive (social situations, public areas, gyms), sophisticated (classroom), scientifically-minded (classroom)",1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,,"Attractive: most likely to be exhibited in clubs, gyms, any outdoor environment, social media  shy: social situations, romantic encounters  quite: in classrooms, public spaces  intelligent: any environment where learning takes place  sensitive: relationships",Armenian American,5,5,5,3,5,4,1,1,1,1,1,1,7,4,6,4,1,1,1,7,1,4,5,1,1,1,1,1,1,1,7,7,7,4,7,7,7,4,1,18,,,1,,,,,3,2,Health Science,4,1,Armenia,9,1.43,5,1,2,54,6.25,6.25,4.33,4.67,4.5,2,0,2,1,1,1,0,1,1,1,0,0,0,0,2,1,4,2,1,1,0,1,1,1,0,0,2,0,9,7,0.08,0,0,0.08,0.08,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.08,0,0.08,0,0.08,0,0,0,0.08,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0.05,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0.05,0,0.05,0.05,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05,0,0,0,0.05,0,0,0.05,0,0,0.05,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0.16,0,0.16,0.08,0.08,0.08,0,0.08,0.08,0.08,0,0,0,0,0.1,0.05,0.2,0.1,0.05,0.05,0,0.05,0.05,0.05,0,0,0.1,0
58,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,intelligent-professor straightforward-parenting children reserved-certain household roles tradition-loving-celebrating Chinese New Year artistic-amine,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,intelligent- smart in math subjects straightforward- discipline for good grades religious-celebrating a death with certain rituals faithful-trying to maintain a good marriage artistic- amine,"Hispanic, Filipino",3,3,4,4,4,4,3,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,2,22,,1,,1,,,,6,13th,criminal justice,4,3,,,1.43,1.33,1,3,35,7,7,3.67,3.67,3.67,1,1,3,3,0,1,1,0,0,1,2,1,1,0,1,1,0,2,0,0,0,0,0,0,2,0,1,1,4,7,0.06,0.06,0.06,0,0.06,0.06,0,0,0.06,0,0,0.06,0,0,0,0,0.06,0,0,0,0.06,0,0,0,0.06,0,0.06,0,0.06,0,0.06,0,0,0,0.06,0,0,0,0.06,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.1,0,0.1,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0.06,0.06,0.18,0.18,0,0.06,0.06,0,0,0.06,0.12,0.06,0.06,0,0.1,0.1,0,0.2,0,0,0,0,0,0,0.2,0,0.1,0.1
59,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,artistic - school scientifically-minded - classroom intelligent - school conservative - socially quiet - socially,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,quiet traditional artistic inteligent,,3,4,4,4,4,4,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,1,7,7,7,7,7,7,7,1,2,19,,,,1,,,,4,3rd,Psychology,8,2,,,1.29,1.17,1,2.33,31,7,5.5,3.67,4,3.83,2,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,6,0.11,0,0,0,0.11,0,0,0,0,0,0,0.11,0,0,0,0,0.11,0,0,0,0,0.11,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0.33,0.22,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0
60,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,Intelligent - school   quiet- school / outside activities    reserved - outdoor activities   straightforward - friendship/ relationship    shy - school / friends,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Shy - social events  Artistic - school / life   Honest - relationship / friends   Intelligent - school / workplace    Unaggressive - school,Mexican American,4,4,4,3,4,4,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,7,2,4,4,7,1,2,24,,,,1,,,,4,1st,Health science,5,4,,,1.57,1,1,1.33,29,3.75,4,3.67,4,3.83,1,0,4,1,0,1,0,0,1,2,1,0,1,0,1,1,3,1,0,1,0,0,0,0,1,0,1,0,6,7,0.06,0,0.06,0,0.06,0,0,0,0,0,0,0.06,0,0.06,0,0,0,0,0,0.06,0.06,0,0,0,0.06,0,0.06,0,0,0,0,0,0.06,0,0,0,0,0.06,0,0.06,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.06,0,0.24,0.06,0,0.06,0,0,0.06,0.12,0.06,0,0.06,0,0.1,0.1,0.3,0.1,0,0.1,0,0,0,0,0.1,0,0.1,0
61,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,,,Religious: family traditions loyal to family ties: caring about family members nationalistic: government  reserved: Don't take action immediately  Honest: Asians viewed truthful people in the public eyes.,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,,Loyal to family ties: Staying home and taking care of children neat: expected to clean around the house  traditional: Marry a man and have children dependent: relying on the man to take care of the family. quiet: listening and not speaking back.,,4,4,3,4,5,5,4,7,1,1,2,3,1,1,1,2,1,1,1,2,7,2,5,2,1,1,1,2,5,2,7,7,7,7,7,7,7,1,1,20,,1,,,,,,2,2nd,Business Marketing,1,2,,,3.71,2.33,1.5,1.33,56,7,5.5,4.33,4,4.17,1,2,0,1,0,0,0,1,0,2,1,1,1,0,0,2,2,2,1,1,0,1,0,0,1,0,2,0,6,3,0.07,0,0.07,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0.07,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0.07,0,0,0,0,0,0.07,0,0,0.07,0.07,0,0,0,0,0.07,0.07,0.07,0,0,0,0,0,0.07,0,0,0,0.07,0,0,0,0.07,0,0,0,0,0,0.07,0,0.07,0,0,0,0,0,0.07,0,0.07,0,0,0,0,0,0,0,0.07,0,0.07,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0,0.07,0.07,0,0,0,0,0,0.07,0.07,0,0.07,0.14,0,0.07,0,0,0,0.07,0,0.14,0.07,0.07,0.07,0,0,0.14,0.14,0.14,0.07,0.07,0,0.07,0,0,0.07,0,0.14,0
62,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,"Rude-shopping centers , quiet-classroom setting , intelligent-can answer any question in classroom setting, neat-organized outfits at school, and reserved-won't cause a scene in any given location.",1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,"intelligent-Studies a lot and usually gets an A in the class, neat-clothing is always neat and goes together, efficient-gets the job done in the workplace, shy-will not go up to a stranger and start a conversation, straightforward-wants the conversation to be quick and to the point in a date.",Black and white..,5,5,5,5,5,5,4,4,4,3,2,1,6,6,4,1,3,1,5,1,1,4,6,5,1,1,1,1,1,1,5,5,5,5,6,4,6,4,1,21,1,,1,,,,,6,1st,Nursing,6,5,,,2.71,4.5,1.25,3.67,67,5,5,5,5,5,2,0,2,1,1,1,1,0,1,2,0,0,0,0,2,0,1,1,2,2,0,0,1,1,1,1,0,1,4,6,0.08,0.08,0,0.08,0.08,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0.08,0.08,0,0.08,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.08,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.07,0,0,0.07,0,0,0,0,0.07,0.07,0,0,0,0,0,0,0.07,0.07,0,0.07,0,0,0,0,0,0,0,0.07,0,0.07,0.07,0,0,0,0,0,0.07,0.07,0,0,0,0,0,0,0,0,0,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.16,0.08,0.08,0.08,0.08,0,0.08,0.16,0,0,0,0,0.14,0,0.07,0.07,0.14,0.14,0,0,0.07,0.07,0.07,0.07,0,0.07
63,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,Intelligent dependent tradition loving generous scientifically minded,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,passionate individualistic artistic attractive neat,African American/ Black,5,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,1,1,1,1,1,1,2,3,6,7,7,7,6,6,7,6,2,22,1,,,,,,,1,5th,psychology,1,5,,,1.43,1,1.25,2,32,6.75,6.25,4.33,4,4.17,2,0,2,2,0,0,0,0,0,0,0,0,1,0,1,2,4,2,0,0,0,0,0,1,0,1,2,0,9,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0.07,0,0,0,0.07,0,0,0,0,0.07,0,0.07,0,0,0,0,0.07,0,0,0.07,0.07,0,0.07,0,0.07,0,0,0.07,0.07,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0.07,0.07,0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0.1,0,0.07,0.14,0.28,0.14,0,0,0,0,0,0.07,0,0.07,0.14,0
64,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,intelligent - most likely exhibited in classroom discussions  scientifically-minded - most likely exhibited in a lab for a science class  practical - most likely exhibited in hanging out with friends   ambitious - most likely exhibited in pursuit of goals   loyal to family ties - most likely exhibited in family settings,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,,"intelligent - most likely exhibited in classroom discussions   shy - most likely exhibited in social settings that are new   courteous - most likely exhibited in public, being polite to strangers in public  quiet - most likely exhibited in new social settings   straightforward - most likely exhibited while hanging out with friends",Caucasian,4,2,2,2,2,2,1,3,1,2,4,4,1,1,1,1,1,1,5,1,5,1,1,5,1,1,1,1,1,1,7,7,7,6,6,3,7,1,2,19,,,1,,,,,3,3rd,Music,5,5,,,3.43,1,1.5,1,45,6.75,4.25,2.67,2,2.33,2,1,2,1,0,2,0,0,1,1,1,0,0,0,3,2,4,2,0,2,0,0,0,0,1,0,3,0,11,8,0.08,0,0.08,0,0.08,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0.08,0.08,0.08,0,0,0,0,0,0,0.08,0,0,0,0.08,0,0.08,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0.06,0,0.06,0,0,0,0,0,0,0.06,0.06,0,0,0,0,0,0,0,0.06,0.06,0.06,0,0.06,0,0.06,0,0.06,0,0,0,0,0,0.06,0,0,0.06,0.06,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.06,0,0,0,0.06,0,0,0,0,0.16,0.08,0.16,0.08,0,0.16,0,0,0.08,0.08,0.08,0,0,0,0.18,0.12,0.24,0.12,0,0.12,0,0,0,0,0.06,0,0.18,0
65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,Faithful - Home  Tradition-loving - With Family Intelligent - Classroom Attractive - Blind date Humorless -One-on-one talk,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Intelligent - Classroom or Workspace Straight Forward - During an Argument  Traditional - With family and loved ones Attractive - Blind dates  Shy - Reading in a classroom out loud,Hispanic/Latin,4,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,5,7,7,7,2,26,,,,1,,,,4,1st,Psychology,3,2,,,1,1,1,1,24,7,6.5,4.67,5,4.83,1,1,1,2,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,4,5,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.13,0,0,0,0.13,0,0.13,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.13,0.13,0.13,0.26,0,0.26,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0
