particip,surveyyear,age,ethnicit,gender,grade,major,faoccup,maoccup,targend,adjectiv,categories1,categories2,rank,ranking,sit1,sit2,setting,mcodes,tcodes,ocodes,fcode
1,1996,3,3,1,1,3,39,39,women,shy,5,5,1,3,party,classroom,2, , , , 
1,1996,3,3,1,1,3,39,39,women,traditional,7,7,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,women,unaggressive,5,5,1, , , , , , , , 
2,1996,1,3,2,4,1,4,0,men,ambitious,6,6,3, , , , , , , , 
2,1996,1,3,2,4,1,4,0,men,conservative,7,7,2, , , , , , , , 
2,1996,1,3,2,4,1,4,0,men,conventional,7,7,1, , , , , , , , 
2,1996,1,3,2,4,1,4,0,men,dependent,5,5,1, , , , , , , , 
2,1996,1,3,2,4,1,4,0,men,efficient,11,11,4,3,work,home,3, , , , 
2,1996,1,3,2,4,1,4,0,men,honest,10,10,2, , , , , , , , 
2,1996,1,3,2,4,1,4,0,men,humorless,11,11,2, , , , , , , , 
2,1996,1,3,2,4,1,4,0,men,industrious,6,6,2,5,work,self-interests,3, , , , 
2,1996,1,3,2,4,1,4,0,men,intelligent,1,1,2,1,work,school,3, , , , 
2,1996,1,3,2,4,1,4,0,men,loyal to family ties,7,7,3, , , , , , , , 
2,1996,1,3,2,4,1,4,0,men,methodical,11,11,2, , , , , , , , 
2,1996,1,3,2,4,1,4,0,men,neat,16,16,2, , , , , , , , 
2,1996,1,3,2,4,1,4,0,men,persistent,11,11,1,4,work,hobbies,3, , , , 
2,1996,1,3,2,4,1,4,0,men,practical,11,11,2, , , , , , , , 
2,1996,1,3,2,4,1,4,0,men,progressive,8,8,2, , , , , , , , 
2,1996,1,3,2,4,1,4,0,men,quiet,5,5,2, , , , , , , , 
2,1996,1,3,2,4,1,4,0,men,reserved,5,5,2,2,social setting,w/ co-workers,2, , , , 
2,1996,1,3,2,4,1,4,0,men,scientifically-minded,1,1,7, , , , , , , , 
2,1996,1,3,2,4,1,4,0,men,secretive,9,9,1, , , , , , , , 
2,1996,1,3,2,4,1,4,0,men,shrewd,9,9,1, , , , , , , , 
2,1996,1,3,2,4,1,4,0,men,shy,5,5,2, , , , , , , , 
2,1996,1,3,2,4,1,4,0,men,unaggressive,5,5,2, , , , , , , , 
2,1996,1,3,2,4,1,4,0,women,conventional,7,7,1, , , , , , , , 
2,1996,1,3,2,4,1,4,0,women,inhibited,5,5,1, , , , , , , , 
2,1996,1,3,2,4,1,4,0,women,loyal to family ties,7,7,3, , , , , , , , 
2,1996,1,3,2,4,1,4,0,women,nurturant,14,14,2, , , , , , , , 
2,1996,1,3,2,4,1,4,0,women,quiet,5,5,2,2,public,work,2, , , , 
2,1996,1,3,2,4,1,4,0,women,reserved,5,5,2,3,"husband, w/","peers, w/",2, , , , 
2,1996,1,3,2,4,1,4,0,women,secretive,9,9,2,1,socially,"other Asian Amer. women, w/.",2, , , , 
2,1996,1,3,2,4,1,4,0,women,shy,5,5,2,4,"groups, in","strangers, w/",2, , , , 
2,1996,1,3,2,4,1,4,0,women,traditional,7,7,2,5,family,relatives,4, , , , 
2,1996,1,3,2,4,1,4,0,women,unaggressive,5,5,2, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,ambitious,6,6,4, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,artistic,16,16,1, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,conservative,7,7,3,5,parties,date,2, , , , 
3,1996,2,3,1,3,1,33,22,men,conventional,7,7,2, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,courteous,14,14,2, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,cruel,15,15,1, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,efficient,11,11,5, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,evasive,9,9,1,4,business,friendships,3, , , , 
3,1996,2,3,1,3,1,33,22,men,exotic,3,3,1, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,gregarious,6,6,1, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,honest,10,10,3, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,humorless,11,11,3, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,individualistic,8,8,1, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,industrious,6,6,3, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,inhibited,5,5,1, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,intelligent,1,1,3,1,classroom,work,1, , , , 
3,1996,2,3,1,3,1,33,22,men,loyal to family ties,7,7,4, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,meditative,16,16,1, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,methodical,11,11,3, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,nationalistic,16,16,2, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,neat,16,16,3, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,persistent,11,11,2, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,progressive,8,8,3, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,quick-tempered,15,15,1, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,quiet,5,5,3,2,date,party,2, , , , 
3,1996,2,3,1,3,1,33,22,men,religious,16,16,1, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,reserved,5,5,3, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,revengeful,15,15,1, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,scientifically-minded,1,1,8, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,secretive,9,9,2, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,sensitive,14,14,2, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,shrewd,9,9,2, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,shy,5,5,3, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,superstitious,16,16,1, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,suspicious,9,9,1, , , , , , , , 
3,1996,2,3,1,3,1,33,22,men,traditional,7,7,12,3,holidays,daily routine,4, , , , 
3,1996,2,3,1,3,1,33,22,women,artistic,16,16,2, , , , , , , , 
3,1996,2,3,1,3,1,33,22,women,attractive,3,3,1,1,all situations, ,7, , , , 
3,1996,2,3,1,3,1,33,22,women,conservative,7,7,2, , , , , , , , 
3,1996,2,3,1,3,1,33,22,women,evasive,9,9,1, , , , , , , , 
3,1996,2,3,1,3,1,33,22,women,exotic,3,3,1,5,date,parties,2, , , , 
3,1996,2,3,1,3,1,33,22,women,humorless,11,11,2, , , , , , , , 
3,1996,2,3,1,3,1,33,22,women,imitative,16,16,1, , , , , , , , 
3,1996,2,3,1,3,1,33,22,women,inhibited,5,5,2, , , , , , , , 
3,1996,2,3,1,3,1,33,22,women,materialistic,16,16,1, , , , , , , , 
3,1996,2,3,1,3,1,33,22,women,promiscuous,3,3,1, , , , , , , , 
3,1996,2,3,1,3,1,33,22,women,quiet,5,5,3,2,friendships,parties,2, , , , 
3,1996,2,3,1,3,1,33,22,women,religious,16,16,1, , , , , , , , 
3,1996,2,3,1,3,1,33,22,women,reserved,5,5,3, , , , , , , , 
3,1996,2,3,1,3,1,33,22,women,secretive,9,9,3, , , , , , , , 
3,1996,2,3,1,3,1,33,22,women,shrewd,9,9,1, , , , , , , , 
3,1996,2,3,1,3,1,33,22,women,shy,5,5,3, , , , , , , , 
3,1996,2,3,1,3,1,33,22,women,sophisticated,8,8,2,4,date,classroom,2, , , , 
3,1996,2,3,1,3,1,33,22,women,superstitious,16,16,1, , , , , , , , 
3,1996,2,3,1,3,1,33,22,women,suspicious,9,9,1, , , , , , , , 
3,1996,2,3,1,3,1,33,22,women,traditional,7,7,3, , , , , , , , 
3,1996,2,3,1,3,1,33,22,women,unaggressive,5,5,3,3,friendships,business,2, , , , 
4,1996,1,2,2,4,2,0,10,men,ambitious,6,6,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,men,conservative,7,7,1,5,workplace,classroom,3, , , , 
4,1996,1,2,2,4,2,0,10,men,conventional,7,7,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,men,efficient,11,11,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,men,faithful,7,7,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,men,humorless,11,11,1,4,workplace,public,3, , , , 
4,1996,1,2,2,4,2,0,10,men,industrious,6,6,1,2,classroom,workplace,1, , , , 
4,1996,1,2,2,4,2,0,10,men,inhibited,5,5,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,men,intelligent,1,1,1,1,classroom,workplace,1, , , , 
4,1996,1,2,2,4,2,0,10,men,loyal to family ties,7,7,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,men,methodical,11,11,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,men,nationalistic,16,16,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,men,neat,16,16,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,men,practical,11,11,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,men,progressive,8,8,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,men,quiet,5,5,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,men,religious,16,16,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,men,reserved,5,5,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,men,scientifically-minded,1,1,1,3,workplace,laboratory,3, , , , 
4,1996,1,2,2,4,2,0,10,men,sensitive,14,14,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,men,shrewd,9,9,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,men,shy,5,5,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,men,superstitious,16,16,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,men,traditional,7,7,2, , , , , , , , 
4,1996,1,2,2,4,2,0,10,women,attractive,3,3,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,women,conservative,7,7,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,women,courteous,14,14,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,women,cowardly,5,5,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,women,exotic,3,3,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,women,faithful,7,7,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,women,inhibited,5,5,1,4,around males,classroom,2, , , , 
4,1996,1,2,2,4,2,0,10,women,intelligent,1,1,2, , , , , , , , 
4,1996,1,2,2,4,2,0,10,women,loyal to family ties,7,7,2,5,home,children,4, , , , 
4,1996,1,2,2,4,2,0,10,women,neat,16,16,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,women,nurturant,14,14,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,women,quiet,5,5,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,women,religious,16,16,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,women,reserved,5,5,1,3,public,around males,2, , , , 
4,1996,1,2,2,4,2,0,10,women,secretive,9,9,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,women,sensitive,14,14,1,2,home,classroom,4, , , , 
4,1996,1,2,2,4,2,0,10,women,shy,5,5,1,1,classroom,public,1, , , , 
4,1996,1,2,2,4,2,0,10,women,superstitious,16,16,1, , , , , , , , 
4,1996,1,2,2,4,2,0,10,women,traditional,7,7,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,men,ambitious,6,6,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,men,artistic,16,16,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,men,conservative,7,7,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,men,courteous,14,14,1,5,society,neighborhood,2, , , , 
5,1996,1,1,1,4,1,99,99,men,cowardly,5,5,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,men,dependent,5,5,1,4,society,community,2, , , , 
5,1996,1,1,1,4,1,99,99,men,faithful,7,7,1,2,wife,children,4, , , , 
5,1996,1,1,1,4,1,99,99,men,generous,14,14,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,men,happy-go-lucky,12,12,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,men,honest,10,10,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,men,humorless,11,11,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,men,intelligent,1,1,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,men,loyal to family ties,7,7,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,men,neat,16,16,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,men,passionate,3,3,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,men,quiet,5,5,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,men,religious,16,16,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,men,reserved,5,5,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,men,scientifically-minded,1,1,1,1,classroom,students,1, , , , 
5,1996,1,1,1,4,1,99,99,men,secretive,9,9,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,men,sensitive,14,14,1,3,family,friends,4, , , , 
5,1996,1,1,1,4,1,99,99,men,shy,5,5,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,men,sophisticated,8,8,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,men,traditional,7,7,3, , , , , , , , 
5,1996,1,1,1,4,1,99,99,men,unaggressive,5,5,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,women,attractive,3,3,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,women,conservative,7,7,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,women,courteous,14,14,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,women,efficient,11,11,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,women,faithful,7,7,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,women,generous,14,14,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,women,happy-go-lucky,12,12,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,women,honest,10,10,1,3,friends,relatives,2, , , , 
5,1996,1,1,1,4,1,99,99,women,intelligent,1,1,3, , , , , , , , 
5,1996,1,1,1,4,1,99,99,women,loyal to family ties,7,7,2,5,friends,relatives,2, , , , 
5,1996,1,1,1,4,1,99,99,women,neat,16,16,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,women,passionate,3,3,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,women,quiet,5,5,1,2,dinner,social gathering,2, , , , 
5,1996,1,1,1,4,1,99,99,women,religious,16,16,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,women,reserved,5,5,1,4,strangers,colleagues,2, , , , 
5,1996,1,1,1,4,1,99,99,women,shy,5,5,1,1,new people,lecture hall,2, , , , 
5,1996,1,1,1,4,1,99,99,women,sophisticated,8,8,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,women,superstitious,16,16,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,women,traditional,7,7,1, , , , , , , , 
5,1996,1,1,1,4,1,99,99,women,unaggressive,5,5,1, , , , , , , , 
6,1996,1,3,1,4,1,28,0,men,conservative,7,7,57, , , , , , , , 
6,1996,1,3,1,4,1,28,0,men,conventional,7,7,31, , , , , , , , 
6,1996,1,3,1,4,1,28,0,men,efficient,11,11,51, , , , , , , , 
6,1996,1,3,1,4,1,28,0,men,faithful,7,7,26, , , , , , , , 
6,1996,1,3,1,4,1,28,0,men,industrious,6,6,56,2,inventions,occupations, , , , , 
6,1996,1,3,1,4,1,28,0,men,intelligent,1,1,84,1,math,science,1, , , , 
6,1996,1,3,1,4,1,28,0,men,loyal to family ties,7,7,80, , , , , , , , 
6,1996,1,3,1,4,1,28,0,men,progressive,8,8,33,5,inventions,science, , , , , 
6,1996,1,3,1,4,1,28,0,men,quiet,5,5,73, , , , , , , , 
6,1996,1,3,1,4,1,28,0,men,reserved,5,5,58, , , , , , , , 
6,1996,1,3,1,4,1,28,0,men,scientifically-minded,1,1,89,3,school,occupations,1, , , , 
6,1996,1,3,1,4,1,28,0,men,tradition-loving,7,7,4,4,culture,family,2, , , , 
6,1996,1,3,1,4,1,28,0,women,artistic,16,16,24,2,drawing,painting, , , , , 
6,1996,1,3,1,4,1,28,0,women,conservative,7,7,32, , , , , , , , 
6,1996,1,3,1,4,1,28,0,women,conventional,7,7,24, , , , , , , , 
6,1996,1,3,1,4,1,28,0,women,dependent,5,5,32, , , , , , , , 
6,1996,1,3,1,4,1,28,0,women,exotic,3,3,25,3,culture,appearance,2, , , , 
6,1996,1,3,1,4,1,28,0,women,faithful,7,7,37, , , , , , , , 
6,1996,1,3,1,4,1,28,0,women,inhibited,5,5,24, , , , , , , , 
6,1996,1,3,1,4,1,28,0,women,loyal to family ties,7,7,63, , , , , , , , 
6,1996,1,3,1,4,1,28,0,women,passionate,3,3,9, , , , , , , , 
6,1996,1,3,1,4,1,28,0,women,quiet,5,5,73, , , , , , , , 
6,1996,1,3,1,4,1,28,0,women,reserved,5,5,57,5,in public,with men,2, , , , 
6,1996,1,3,1,4,1,28,0,women,shy,5,5,67, , , , , , , , 
6,1996,1,3,1,4,1,28,0,women,traditional,7,7,55, , , , , , , , 
6,1996,1,3,1,4,1,28,0,women,unaggressive,5,5,39, , , , , , , , 
7,1996,1,3,1,4,1,11,10,men,conservative,7,7,4,4,dress,thinking/culture, , , , , 
7,1996,1,3,1,4,1,11,10,men,conventional,7,7,3, , , , , , , , 
7,1996,1,3,1,4,1,11,10,men,efficient,11,11,6, , , , , , , , 
7,1996,1,3,1,4,1,11,10,men,industrious,6,6,4, , , , , , , , 
7,1996,1,3,1,4,1,11,10,men,intelligent,1,1,4,1,workplace,classroom,3, , , , 
7,1996,1,3,1,4,1,11,10,men,loyal to family ties,7,7,5,5,living arrangements,marriages,4, , , , 
7,1996,1,3,1,4,1,11,10,men,methodical,11,11,4, , , , , , , , 
7,1996,1,3,1,4,1,11,10,men,neat,16,16,4, , , , , , , , 
7,1996,1,3,1,4,1,11,10,men,persistent,11,11,3, , , , , , , , 
7,1996,1,3,1,4,1,11,10,men,quiet,5,5,4,3,work,university,3, , , , 
7,1996,1,3,1,4,1,11,10,men,scientifically-minded,1,1,9,2,workplace,classroom,3, , , , 
7,1996,1,3,1,4,1,11,10,men,traditional,7,7,13, , , , , , , , 
7,1996,1,3,1,4,1,11,10,women,conservative,7,7,3, , , , , , , , 
7,1996,1,3,1,4,1,11,10,women,conventional,7,7,2, , , , , , , , 
7,1996,1,3,1,4,1,11,10,women,efficient,11,11,5, , , , , , , , 
7,1996,1,3,1,4,1,11,10,women,industrious,6,6,2, , , , , , , , 
7,1996,1,3,1,4,1,11,10,women,intelligent,1,1,2, , , , , , , , 
7,1996,1,3,1,4,1,11,10,women,loyal to family ties,7,7,4,3,living situations,marriage,4, , , , 
7,1996,1,3,1,4,1,11,10,women,meditative,16,16,1, , , , , , , , 
7,1996,1,3,1,4,1,11,10,women,neat,16,16,1, , , , , , , , 
7,1996,1,3,1,4,1,11,10,women,quiet,5,5,4,2,public places,discussions w/family,2, , , , 
7,1996,1,3,1,4,1,11,10,women,reserved,5,5,4, , , , , , , , 
7,1996,1,3,1,4,1,11,10,women,sensitive,14,14,2, , , , , , , , 
7,1996,1,3,1,4,1,11,10,women,shy,5,5,4,1,workplace,classroom,3, , , , 
7,1996,1,3,1,4,1,11,10,women,traditional,7,7,4,4,dress,food, , , , , 
7,1996,1,3,1,4,1,11,10,women,unaggressive,5,5,4,5,home-males dominate,workplace,4, , , , 
8,1996,5,6,2,4,1,89,22,men,imitative,16,16,1, , , , , , , , 
8,1996,5,6,2,4,1,89,22,men,industrious,6,6,2, , , , , , , , 
8,1996,5,6,2,4,1,89,22,men,intelligent,1,1,2, , , , , , , , 
8,1996,5,6,2,4,1,89,22,men,loyal to family ties,7,7,3, , , , , , , , 
8,1996,5,6,2,4,1,89,22,men,materialistic,16,16,2,5,important, , , , , , 
8,1996,5,6,2,4,1,89,22,men,nationalistic,16,16,4,4,mixes w/ own people, ,2, , , , 
8,1996,5,6,2,4,1,89,22,men,practical,11,11,2,2,choice of study,career,1, , , , 
8,1996,5,6,2,4,1,89,22,men,quiet,5,5,3, , , , , , , , 
8,1996,5,6,2,4,1,89,22,men,scientifically-minded,1,1,3,3,school, ,1, , , , 
8,1996,5,6,2,4,1,89,22,men,sensitive,14,14,1, , , , , , , , 
8,1996,5,6,2,4,1,89,22,men,shrewd,9,9,1, , , , , , , , 
8,1996,5,6,2,4,1,89,22,men,sophisticated,8,8,1, , , , , , , , 
8,1996,5,6,2,4,1,89,22,women,conservative,7,7,2, , , , , , , , 
8,1996,5,6,2,4,1,89,22,women,courteous,14,14,2, , , , , , , , 
8,1996,5,6,2,4,1,89,22,women,exotic,3,3,1, , , , , , , , 
8,1996,5,6,2,4,1,89,22,women,faithful,7,7,2, , , , , , , , 
8,1996,5,6,2,4,1,89,22,women,industrious,6,6,1, , , , , , , , 
8,1996,5,6,2,4,1,89,22,women,inhibited,5,5,1,5, , , , , , , 
8,1996,5,6,2,4,1,89,22,women,intelligent,1,1,2,3,grades, ,1, , , , 
8,1996,5,6,2,4,1,89,22,women,loyal to family ties,7,7,3, , , , , , , , 
8,1996,5,6,2,4,1,89,22,women,nationalistic,16,16,2, , , , , , , , 
8,1996,5,6,2,4,1,89,22,women,neat,16,16,2, , , , , , , , 
8,1996,5,6,2,4,1,89,22,women,practical,11,11,1, , , , , , , , 
8,1996,5,6,2,4,1,89,22,women,quiet,5,5,2,2,classroom,social work,1, , , , 
8,1996,5,6,2,4,1,89,22,women,reserved,5,5,2, , , , , , , , 
8,1996,5,6,2,4,1,89,22,women,scientifically-minded,1,1,1, , , , , , , , 
8,1996,5,6,2,4,1,89,22,women,sensitive,14,14,2,4,outward appearance, , , , , , 
8,1996,5,6,2,4,1,89,22,women,shy,5,5,3,1, , , , , , , 
8,1996,5,6,2,4,1,89,22,women,sophisticated,8,8,1, , , , , , , , 
8,1996,5,6,2,4,1,89,22,women,traditional,7,7,2, , , , , , , , 
9,1996,2,1,1,3,1,19,22,men,ambitious,6,6,2,5,school,workplace,1, , , , 
9,1996,2,1,1,3,1,19,22,men,conservative,7,7,2, , , , , , , , 
9,1996,2,1,1,3,1,19,22,men,conventional,7,7,1, , , , , , , , 
9,1996,2,1,1,3,1,19,22,men,courteous,14,14,2, , , , , , , , 
9,1996,2,1,1,3,1,19,22,men,effeminate,4,4,1, , , , , , , , 
9,1996,2,1,1,3,1,19,22,men,efficient,11,11,1,4,workplace,*,3, , , , 
9,1996,2,1,1,3,1,19,22,men,honest,10,10,2,3,workplace,*,3, , , , 
9,1996,2,1,1,3,1,19,22,men,humorless,11,11,2, , , , , , , , 
9,1996,2,1,1,3,1,19,22,men,industrious,6,6,1, , , , , , , , 
9,1996,2,1,1,3,1,19,22,men,intelligent,1,1,2,1,school,workplace,1, , , , 
9,1996,2,1,1,3,1,19,22,men,loyal to family ties,7,7,2, , , , , , , , 
9,1996,2,1,1,3,1,19,22,men,meditative,16,16,1, , , , , , , , 
9,1996,2,1,1,3,1,19,22,men,nationalistic,16,16,1, , , , , , , , 
9,1996,2,1,1,3,1,19,22,men,persistent,11,11,1, , , , , , , , 
9,1996,2,1,1,3,1,19,22,men,progressive,8,8,1, , , , , , , , 
9,1996,2,1,1,3,1,19,22,men,quiet,5,5,2,2,party,date,2, , , , 
9,1996,2,1,1,3,1,19,22,men,religious,16,16,2, , , , , , , , 
9,1996,2,1,1,3,1,19,22,men,reserved,5,5,2, , , , , , , , 
9,1996,2,1,1,3,1,19,22,men,scientifically-minded,1,1,2, , , , , , , , 
9,1996,2,1,1,3,1,19,22,men,shy,5,5,2, , , , , , , , 
9,1996,2,1,1,3,1,19,22,men,traditional,7,7,4, , , , , , , , 
9,1996,2,1,1,3,1,19,22,men,unaggressive,5,5,2, , , , , , , , 
9,1996,2,1,1,3,1,19,22,women,ambitious,6,6,1, , , , , , , , 
9,1996,2,1,1,3,1,19,22,women,conservative,7,7,2, , , , , , , , 
